# group,ru,en,japanese,romaji,script
lesson7,давать,to give,あげます,agemasu,h
lesson7,получать,to receive,もらいます,moraimasu,h
lesson7,посылать / отправлять,to send,おくります,okurimasu,h
lesson7,резать / нарезать,to cut,きります,kirimasu,h
lesson7,брать в долг,to borrow,かります,karimasu,h
lesson7,давать в долг,to lend,かします,kashimasu,h
lesson7,изучать,to learn,ならいます,naraimasu,h
lesson7,обучать,to teach,おしえます,oshiemasu,h
lesson7,рука / кисть,hand,て,te,h
lesson7,звонить по телефону,to make a phone call,でんわをかけます,denwa o kakemasu,h
lesson7,ножницы,scissors,はさみ,hasami,h
lesson7,персональный компьютер,personal computer,パソコン,pasokon,k
lesson7,палочки,chopsticks,はし,hashi,h
lesson7,ложка,spoon,スプーン,supuun,k
lesson7,мобильный телефон,mobile phone,ケータイ,keetai,k
lesson7,электронное письмо,email,メール,meeru,k
lesson7,новогодняя открытка,New Year's card,ねんがじょう,nengajou,h
lesson7,дырокол,hole punch,パンチ,panchi,k
lesson7,степлер,stapler,ホッチキス,hotchikisu,k
lesson7,скотч,adhesive tape,セロテープ,seroteepu,k
lesson7,ластик,eraser,けしゴム,keshigomu,h
lesson7,билет на транспорт,ticket,きっぷ,kippu,h
lesson7,нож,knife,ナイフ,naifu,k
lesson7,вилка,fork,フォーク,fooku,k
lesson7,бумага,paper,かみ,kami,h
lesson7,цветок,flower,はな,hana,h
lesson7,рубашка,shirt,シャツ,shatsu,k
lesson7,подарок,present,プレゼント,purezento,k
lesson7,деньги,money,おかね,okane,h
lesson7,багаж,luggage,にもつ,nimotsu,h
lesson7,мой отец,my father,ちち,chichi,h
lesson7,Рождество,Christmas,クリスマス,kurisumasu,k
lesson7,моя мать,my mother,はは,haha,h
lesson7,(чей-то) отец,someone's father,おとうさん,otousan,h
lesson7,(чья-то) мать,someone's mother,おかあさん,okaasan,h
lesson7,уже,already,もう,mou,h
lesson7,ещё не,not yet,まだ,mada,h
lesson7,с этих пор / скоро,from now / soon,これから,korekara,h
lesson7,Как это прекрасно!,How nice!,すてきですね,suteki desu ne,h
lesson7,Добро пожаловать.,Welcome.,いらっしゃい,irasshai,h
lesson7,"Заходите, пожалуйста.",Please come in.,どうぞおあがりください,douzo oagari kudasai,h
lesson7,Извините за беспокойство.,Excuse me for disturbing you.,しつれいします,shitsurei shimasu,h
lesson7,Как насчёт?,How about?,いかがですか,ikaga desu ka,h
lesson7,Благодарю за угощение.,Thank you for the meal.,ごちそうさまでした,gochisou sama deshita,h
lesson7,С удовольствием! / Приму ниспосланное свыше,Thank you for the food.,いただきます,itadakimasu,h
